Start,End
2024-12-04 14:45:04.876999,2024-12-04 14:45:05.886458
2024-12-04 14:45:08.811753,2024-12-04 14:45:09.548159
2024-12-04 14:45:12.188209,2024-12-04 14:45:12.731591
2024-12-04 14:45:14.445034,2024-12-04 14:45:15.983444
2024-12-04 14:45:21.852263,2024-12-04 14:45:22.060961
2024-12-04 14:45:22.092757,2024-12-04 14:45:22.124893
2024-12-04 14:45:24.044712,2024-12-04 14:45:24.171694
2024-12-04 14:45:24.779671,2024-12-04 14:45:24.875666
2024-12-04 14:45:24.941735,2024-12-04 14:45:25.019411
2024-12-04 14:45:25.421753,2024-12-04 14:45:25.453263
2024-12-04 14:45:32.189494,2024-12-04 14:45:33.035351
